Input,Predicted,Actual
"♪ TO, BABY, MESS AROUND","<unk> , <unk> , <unk> <unk> <unk>","♪करनेके लिए,बेबी,चारोंओरगंदगी"
"It's not me, Astrid.","नहीं , , , , नहीं .","यह काम मेरे लिए उचित नहीं, ऐस्ट्रिड।"
"That's on you, bro.","आप , , , , , .","आप पर है कि, भाई."
Are you kidding me?,तुम मुझे <unk> कर रहे ?,मज़ाक कर रहे हो?
Or we'll all die together.,हम हम हम <unk> जाएगा .,या हम सब एक साथ मरेंगे।
"Fish, fish, fish, fish, fishy.","<unk> , <unk> , , , , <unk> <unk> <unk>","मछलियां, मछलियां, मछलियां, मछलियां."
Why haven't I seen this?,क्या <unk> नहीं नहीं नहीं है ?,मैं ऐसा क्यों नहीं देखा है?
"- No, we're not.","नहीं , हम हम हैं हैं .","- नहीं, हम नहीं कर रहे हैं."
I have to find him!,<unk> <unk> <unk> है !,मुझे उसे खोजना है!
"Hardly Peter Ustinov, is he?","<unk> , वह , वह है है ?",पीटर उस्तीनोव तो नहीं समझता?
"No, let me see.","<unk> , , मुझे <unk> .","नहीं, मुझे देखते हैं."
Are you from Sardab?,<unk> <unk> <unk> <unk> ? ?,सरदाब से हो?
The hippopotamus needed a friend.,<unk> <unk> <unk> <unk> <unk> .,दरियाई घोड़ा एक दोस्त की जरूरत है.
- Just say I do.,<unk> <unk> <unk> <unk> .,- बस आप स्वीकार करते हैं।
They didn't actually want magic.,उन्होंने कहा <unk> नहीं नहीं नहीं .,वे वास्तव में जादू नहीं चाहता था.
"Hurry, we need a wheelchair.","<unk> , हम एक <unk> है .","जल्दी करो, हम एक व्हीलचेयर की जरूरत है."
"- Wait, wait, wait.","रुको , रुको , रुको .","- रुको, रुको, रुको."
Heavier than I expected.,<unk> <unk> <unk> <unk> . .,मेरी अपेक्षा से भारी.
Second mark is not present.,<unk> <unk> <unk> है .,दूसरा निशान मौजूद नहीं है.
- My sweet baby!,<unk> <unk> <unk> <unk> <unk>,- मेरा प्यारा बच्चा!
"I'm on it, sir.","मैं , , , , . .","मैं उस पर हूँ, सर."
Send medical to my location.,<unk> <unk> <unk> <unk> <unk> .,मेरी जगह के लिए चिकित्सा भेज रहा है।
"Sir, you mean that 20/52?","<unk> , क्या क्या क्या क्या ? ?","महोदय, आप देखेंगे कि 20/52 मतलब है?"
My legs are so weak!,<unk> <unk> <unk> <unk> हैं !,यह बहुत शांत है... जहां kodama हैं?
A car is really expensive.,<unk> <unk> के <unk> <unk> है है,कार वास्तव में महंगी होती है.
- I'm the spokesperson.,मैं <unk> <unk> <unk> .,- मैं ही प्रवक्ता हूँ.
Apes must attack human city!,<unk> <unk> <unk> <unk> <unk> ! !,वानरों को मनुष्यों के शहर पर धावा बोलना होगा!
My name is Ayomatty.,<unk> <unk> <unk> है .,मेरा नाम आयोमैट्टी.
Worldwide military is on alert.,<unk> <unk> <unk> <unk> है .,दुनिया भर में सैन्य अलर्ट पर है।
- We'll meet him.,<unk> <unk> <unk> <unk> .,- हम उसे मिलेंगे.
Tell me the height.,<unk> <unk> <unk> <unk> .,कितना ऊँचा है.
(Chatter) (Car horn honks),( <unk> ) ( <unk> ) ) ) ),(चैटर) (कार सींग honks)
What are you laughing at?,तुम <unk> <unk> हो हैं ?,हँस क्यों रहे हो?
I watched you burn!,तुम <unk> <unk> <unk> कर,मैंने तुम्हें आग में जलते देखा था!
I don't need your help.,मेरे अपने में मत मत ।,मुझे आपकी मदद की जरूरत नहीं है.
